x,t,h
-1.000000000000000000e+00,0.000000000000000000e+00,1.880160067230463028e-03
-9.797979797979797789e-01,0.000000000000000000e+00,1.187631711363792419e-01
-9.595959595959595578e-01,0.000000000000000000e+00,2.295545786619186401e-01
-9.393939393939394478e-01,0.000000000000000000e+00,3.282332718372344971e-01
-9.191919191919192267e-01,0.000000000000000000e+00,4.114963114261627197e-01
-8.989898989898990056e-01,0.000000000000000000e+00,4.788417220115661621e-01
-8.787878787878787845e-01,0.000000000000000000e+00,5.314205288887023926e-01
-8.585858585858585634e-01,0.000000000000000000e+00,5.704362988471984863e-01
-8.383838383838383423e-01,0.000000000000000000e+00,5.962675213813781738e-01
-8.181818181818181213e-01,0.000000000000000000e+00,6.087800264358520508e-01
-7.979797979797980112e-01,0.000000000000000000e+00,6.082102656364440918e-01
-7.777777777777777901e-01,0.000000000000000000e+00,5.956581234931945801e-01
-7.575757575757575690e-01,0.000000000000000000e+00,5.728684663772583008e-01
-7.373737373737373479e-01,0.000000000000000000e+00,5.416808724403381348e-01
-7.171717171717171269e-01,0.000000000000000000e+00,5.036171078681945801e-01
-6.969696969696970168e-01,0.000000000000000000e+00,4.598283171653747559e-01
-6.767676767676766847e-01,0.000000000000000000e+00,4.113579094409942627e-01
-6.565656565656565746e-01,0.000000000000000000e+00,3.595277070999145508e-01
-6.363636363636363535e-01,0.000000000000000000e+00,3.061311244964599609e-01
-6.161616161616161325e-01,0.000000000000000000e+00,2.530776858329772949e-01
-5.959595959595959114e-01,0.000000000000000000e+00,2.016850858926773071e-01
-5.757575757575756903e-01,0.000000000000000000e+00,1.525407880544662476e-01
-5.555555555555555802e-01,0.000000000000000000e+00,1.061481758952140808e-01
-5.353535353535352481e-01,0.000000000000000000e+00,6.336187571287155151e-02
-5.151515151515151381e-01,0.000000000000000000e+00,2.512644790112972260e-02
-4.949494949494949170e-01,0.000000000000000000e+00,-7.925102487206459045e-03
-4.747474747474746959e-01,0.000000000000000000e+00,-3.558171540498733521e-02
-4.545454545454544748e-01,0.000000000000000000e+00,-5.793900042772293091e-02
-4.343434343434342537e-01,0.000000000000000000e+00,-7.523018866777420044e-02
-4.141414141414141437e-01,0.000000000000000000e+00,-8.772934228181838989e-02
-3.939393939393939226e-01,0.000000000000000000e+00,-9.572602063417434692e-02
-3.737373737373737015e-01,0.000000000000000000e+00,-9.954936057329177856e-02
-3.535353535353534804e-01,0.000000000000000000e+00,-9.960550814867019653e-02
-3.333333333333332593e-01,0.000000000000000000e+00,-9.639472514390945435e-02
-3.131313131313130382e-01,0.000000000000000000e+00,-9.050846844911575317e-02
-2.929292929292928171e-01,0.000000000000000000e+00,-8.259893208742141724e-02
-2.727272727272727071e-01,0.000000000000000000e+00,-7.333339005708694458e-02
-2.525252525252524860e-01,0.000000000000000000e+00,-6.334549933671951294e-02
-2.323232323232322649e-01,0.000000000000000000e+00,-5.319721251726150513e-02
-2.121212121212120438e-01,0.000000000000000000e+00,-4.335398226976394653e-02
-1.919191919191918227e-01,0.000000000000000000e+00,-3.417897969484329224e-02
-1.717171717171716017e-01,0.000000000000000000e+00,-2.593691088259220123e-02
-1.515151515151514916e-01,0.000000000000000000e+00,-1.880181767046451569e-02
-1.313131313131312705e-01,0.000000000000000000e+00,-1.286787725985050201e-02
-1.111111111111110494e-01,0.000000000000000000e+00,-8.158275857567787170e-03
-9.090909090909082835e-02,0.000000000000000000e+00,-4.631885793060064316e-03
-7.070707070707060726e-02,0.000000000000000000e+00,-2.190837170928716660e-03
-5.050505050505038618e-02,0.000000000000000000e+00,-6.889789947308599949e-04
-3.030303030303027612e-02,0.000000000000000000e+00,6.525818025693297386e-05
-1.010101010101005503e-02,0.000000000000000000e+00,3.001004806719720364e-04
1.010101010101016605e-02,0.000000000000000000e+00,2.846628776751458645e-04
3.030303030303049816e-02,0.000000000000000000e+00,3.212601295672357082e-04
5.050505050505060822e-02,0.000000000000000000e+00,7.414132705889642239e-04
7.070707070707071829e-02,0.000000000000000000e+00,1.891604159027338028e-03
9.090909090909105039e-02,0.000000000000000000e+00,4.099121782928705215e-03
1.111111111111111605e-01,0.000000000000000000e+00,7.621458265930414200e-03
1.313131313131314926e-01,0.000000000000000000e+00,1.258092187345027924e-02
1.515151515151516026e-01,0.000000000000000000e+00,1.891546510159969330e-02
1.717171717171717127e-01,0.000000000000000000e+00,2.640604041516780853e-02
1.919191919191920448e-01,0.000000000000000000e+00,3.479229658842086792e-02
2.121212121212121549e-01,0.000000000000000000e+00,4.390596598386764526e-02
2.323232323232324870e-01,0.000000000000000000e+00,5.363958328962326050e-02
2.525252525252525970e-01,0.000000000000000000e+00,6.374543160200119019e-02
2.727272727272729291e-01,0.000000000000000000e+00,7.371126860380172729e-02
2.929292929292930392e-01,0.000000000000000000e+00,8.289342373609542847e-02
3.131313131313131493e-01,0.000000000000000000e+00,9.069370478391647339e-02
3.333333333333334814e-01,0.000000000000000000e+00,9.652953594923019409e-02
3.535353535353535914e-01,0.000000000000000000e+00,9.975468367338180542e-02
3.737373737373739235e-01,0.000000000000000000e+00,9.970705956220626831e-02
3.939393939393940336e-01,0.000000000000000000e+00,9.583240002393722534e-02
4.141414141414143657e-01,0.000000000000000000e+00,8.771955221891403198e-02
4.343434343434344758e-01,0.000000000000000000e+00,7.504885643720626831e-02
